date,symbol,corr_symbol,direction,entry,entry_time,sl,tp1,tp2,sl_pips,pip_value_per_lot,pnl_pips,outcome,exit_time,exit_price,month,lot_size,pnl_dollar,balance,drawdown_pct
2024-09-25,JPN225,,bearish,38154.0,2024-09-25 21:15:00+00:00,38281.52,37898.975,37834.0,12752.0,0.005339427399805645,-12753.0,SL_INIT,2024-09-25 23:05:00+00:00,38281.52,2024-09,0.26,-17.704366583727563,887.2288543087152,4.648573605089355
2024-09-25,AUDUSD,,bullish,0.68792,2024-09-25 16:25:00+00:00,0.68692,0.68977,0.69076,10.0,8.54978540038645,-10.8,SL_INIT,2024-09-25 17:00:00+00:00,0.68692,2024-09,0.21,-19.39091328807647,867.8379410206387,6.732535631503309
2024-09-30,AUDUSD,,bearish,0.69314,2024-09-30 19:10:00+00:00,0.6943,0.6909699999999999,0.69015,11.6,8.54978540038645,29.1,TRAIL,2024-09-30 21:25:00+00:00,0.69015,2024-09,0.16,39.80780082419931,907.645741844838,2.4543490375953088
2024-10-02,US30,,bullish,42060.05,2024-10-02 13:30:00+00:00,42012.030000000006,42156.075000000004,42199.65,4802.0,0.008549785400386449,13957.5,TRAIL,2024-10-02 16:20:00+00:00,42199.65,2024-10,0.43,51.31346078213436,958.9592026269723,0.0
2024-10-07,AUS200,,bearish,8205.3,2024-10-07 21:30:00+00:00,8222.32,8171.274999999996,8151.3,1702.0,0.006098713781263532,1314.0,EOD,2024-10-07 23:55:00+00:00,8192.15,2024-10,1.71,13.70344394367228,972.6626465706446,0.0
2024-10-08,EURJPY,,bearish,162.648,2024-10-08 17:30:00+00:00,162.836,162.28699999999995,161.897,18.8,5.339427399805645,-11.8,EOD,2024-10-08 23:55:00+00:00,162.756,2024-10,0.18,-11.34094379718719,961.3217027734574,1.1659688831654396
2024-10-15,EURJPY,,bullish,162.659,2024-10-15 13:40:00+00:00,162.34099999999998,163.28000000000003,163.424,31.8,5.339427399805645,-32.8,SL_INIT,2024-10-15 17:40:00+00:00,162.34099999999998,2024-10,0.1,-17.513321871362514,943.8083809020949,2.966523467338069
2024-10-17,AUS200,,bullish,8338.1,2024-10-17 19:25:00+00:00,8329.08,8356.125000000004,8394.1,902.0,0.006098713781263532,-903.0,SL_INIT,2024-10-17 21:10:00+00:00,8329.08,2024-10,3.22,-17.732986113228723,926.0753947888661,4.789661857174532
2024-10-21,EURUSD,,bullish,1.08516,2024-10-21 14:50:00+00:00,1.08422,1.0868899999999995,1.08708,9.4,8.54978540038645,-9.9,SL_INIT,2024-10-21 17:20:00+00:00,1.08422,2024-10,0.22,-18.621432602041686,907.4539621868245,6.704141935924957
2024-10-22,CN50,,bearish,13593.0,2024-10-22 18:25:00+00:00,13641.52,13495.974999999997,13384.0,4852.0,0.008549785400386449,1799.0,EOD,2024-10-22 23:40:00+00:00,13575.0,2024-10,0.43,6.613857492176945,914.0678196790014,6.024167484814315
